,name,company,year,Price,kms_driven,fuel_type
409,Ikon 1.3,Ford,2001,45000,65000,Petrol
410,Fortuner 3.0,Toyota,2010,940000,131000,Diesel
411,Manza ELAN,Tata,2010,155555,111111,Petrol
412,Benz A,Mercedes,2013,1500000,14000,Petrol
413,Beat LS,Chevrolet,2016,210000,22000,Diesel
414,EcoSport Trend,Ford,2013,495000,38000,Diesel
415,Indigo LS,Tata,2016,125000,70000,Diesel
416,i20 Magna,Hyundai,2010,195000,36000,Petrol
417,Vento Highline,Volkswagen,2015,550000,34000,Diesel
418,Kwid RXT,Renault,2015,270000,43000,Petrol
419,EcoSport Titanium,Ford,2014,500000,40000,Diesel
420,Amaze 1.5,Honda,2016,240000,160000,Diesel
421,Verna 1.6,Hyundai,2017,800000,12000,Petrol
422,5 Series,BMW,2011,1299000,49000,Diesel
423,Superb 1.8,Skoda,2011,530000,68000,Petrol
424,Q3 2.0,Audi,2013,1499000,37000,Diesel
425,Bolero DI,Mahindra,2012,220000,59466,Diesel
426,Scorpio S10,Mahindra,2015,900000,97200,Diesel
427,Figo Duratorq,Ford,2012,250000,99000,Diesel
428,Suzuki Wagon,Maruti,2018,395000,25500,Petrol
429,Logan Diesel,Mahindra,2009,130000,66000,Petrol
430,Nano GenX,Tata,2010,32000,44005,Petrol
431,TUV300 T4,Mahindra,2016,540000,35000,Diesel
432,TUV300 T4,Mahindra,2016,540000,35000,Diesel
433,Elite i20,Hyundai,2015,405000,28000,Petrol
434,Elite i20,Hyundai,2015,400000,30000,Petrol
435,City SV,Honda,2017,760000,4000,Petrol
436,Suzuki Baleno,Maruti,2016,500000,28000,Petrol
437,Figo Petrol,Ford,2011,175000,75000,Petrol
438,Scorpio S10,Mahindra,2015,900000,97200,Diesel
439,City,Honda,2017,750000,3000,Petrol
440,Elite i20,Hyundai,2015,419000,20000,Petrol
441,Suzuki Versa,Maruti,2004,90000,50000,Petrol
442,Eon Era,Hyundai,2018,140000,2110,Petrol
443,Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
444,i10 Magna,Hyundai,2008,275000,100200,Petrol
445,Corolla H2,Toyota,2003,150000,100000,Petrol
446,Suzuki Swift,Maruti,2011,230000,65,Petrol
447,Indigo CS,Tata,2015,123000,100000,Diesel
448,Scorpio S10,Mahindra,2015,900000,97200,Diesel
449,Scorpio S10,Mahindra,2015,900000,97200,Diesel
450,Xcent Base,Hyundai,2016,300000,140000,Diesel
451,City,Honda,2015,499999,55000,Petrol
452,Accent Executive,Hyundai,2009,165000,48000,Petrol
453,Suzuki Baleno,Maruti,2016,498000,22000,Petrol
454,Zest XE,Tata,2018,480000,103553,Diesel
455,Suzuki Dzire,Maruti,2017,488000,80000,Diesel
456,Sumo Gold,Tata,2014,250000,99000,Diesel
457,Corolla Altis,Toyota,2010,220000,58000,Petrol
458,Suzuki Eeco,Maruti,2013,290000,70000,LPG
459,Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
460,XUV500 W6,Mahindra,2013,548900,49800,Diesel
461,Tigor Revotron,Tata,2019,650000,100,Diesel
462,Suzuki 800,Maruti,2001,55000,81876,Petrol
463,Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
464,Suzuki Versa,Maruti,2004,90000,50000,Petrol
465,Mobilio S,Honda,2014,399000,44000,Diesel
466,Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
467,Suzuki Vitara,Maruti,2017,725000,36000,Diesel
468,Verna 1.6,Hyundai,2016,195000,56000,Diesel
469,Suzuki Swift,Maruti,2007,130000,62000,Petrol
470,Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
471,Suzuki Omni,Maruti,2014,190000,6020,Petrol
472,Amaze,Honda,2013,250000,55700,Diesel
473,Indica,Tata,2005,80000,42000,Petrol
474,Santro Xing,Hyundai,2003,120000,50000,Petrol
475,Suzuki Zen,Maruti,2010,149000,35000,Petrol
476,Suzuki Wagon,Maruti,2014,250000,18500,Petrol
477,Suzuki Wagon,Maruti,2007,120000,7000,Petrol
478,Brio VX,Honda,2017,450000,11000,Petrol
479,Suzuki Zen,Maruti,2003,99999,53000,Petrol
480,Suzuki Zen,Maruti,2008,135000,23000,Petrol
481,Suzuki Wagon,Maruti,2016,225000,35500,Diesel
482,Suzuki Alto,Maruti,2010,99000,22134,Petrol
483,Kwid RXT,Renault,2019,370000,1000,Petrol
484,Nano Lx,Tata,2010,52000,9000,Petrol
485,XE XE,Jaguar,2016,2800000,8500,Petrol
486,Eon Magna,Hyundai,2014,190000,35000,Petrol
487,City 1.5,Honda,2014,499000,22000,Petrol
488,Motors Ambassador,Hindustan,2002,90000,25000,Diesel
489,Suzuki Ritz,Maruti,2010,149000,40000,Petrol
490,Grand i10,Hyundai,2017,400000,20000,Petrol
491,Eon D,Hyundai,2016,120000,87000,Petrol
492,Suzuki Swift,Maruti,2015,250000,55000,Petrol
493,Suzuki Wagon,Maruti,2017,375000,23000,Petrol
494,Amaze 1.2,Honda,2014,381000,6000,Petrol
495,Suzuki Estilo,Maruti,2013,180000,65000,Petrol
496,Suzuki Vitara,Maruti,2016,580000,25000,Diesel
497,Suzuki Eeco,Maruti,2015,278000,39000,Petrol
498,Creta 1.6,Hyundai,2016,1000000,8000,Petrol
499,Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
500,Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
501,Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
502,Suzuki Maruti,Maruti,2001,40000,75000,Petrol
503,Suzuki Alto,Maruti,2015,90000,55800,Petrol
504,Grand i10,Hyundai,2015,340000,53000,Petrol
505,Eon D,Hyundai,2018,260000,25000,Petrol
506,Fiesta SXi,Ford,2009,250000,56400,Petrol
507,Suzuki Ritz,Maruti,2010,180000,72160,Diesel
508,Verna Fluidic,Hyundai,2012,350000,10000,Diesel
509,Suzuki Wagon,Maruti,2006,90001,48000,Petrol
510,Suzuki Estilo,Maruti,2007,115000,36000,Petrol
511,A6 2.0,Audi,2012,1599000,11500,Diesel
512,Suzuki Wagon,Maruti,2003,130000,133000,Petrol
513,Suzuki Wagon,Maruti,2009,159000,27000,Petrol
514,Suzuki Wagon,Maruti,2009,160000,35000,Petrol
515,Suzuki Alto,Maruti,2010,110000,55000,Petrol
516,Suzuki Baleno,Maruti,2016,425000,40000,Petrol
517,Verna 1.6,Hyundai,2019,900000,2000,Petrol
518,Suzuki Swift,Maruti,2009,150000,45000,Petrol
519,Getz Prime,Hyundai,2009,110000,20000,Petrol
520,Santro,Hyundai,2000,51999,88000,Petrol
521,Getz Prime,Hyundai,2009,115000,20000,Petrol
522,Beat PS,Chevrolet,2012,215000,65422,Diesel
523,EcoSport Trend,Ford,2017,580000,10000,Petrol
524,Suzuki Dzire,Maruti,2013,380000,35000,Petrol
525,Fluidic Verna,Hyundai,2013,350000,117000,Diesel
526,Indica V2,Tata,2005,35000,150000,Diesel
527,X1 xDrive20d,BMW,2011,1150000,72000,Diesel
528,i20 Asta,Hyundai,2010,300000,10750,Petrol
529,City 1.5,Honda,2009,269000,55000,Petrol
530,Nano,Tata,2013,60000,6800,Petrol
531,Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
532,Verna Fluidic,Hyundai,2015,430000,73000,Diesel
533,Suzuki Swift,Maruti,2011,140000,65000,Diesel
534,XUV500 W10,Mahindra,2018,1299000,40000,Diesel
535,Suzuki Alto,Maruti,2014,199000,37000,Petrol
536,Accent GLE,Hyundai,2006,90000,55000,Petrol
537,Motors One,Force,2013,550000,140000,Diesel
538,Suzuki Alto,Maruti,2019,265000,9800,Petrol
539,Spark 1.0,Chevrolet,2011,100000,27000,Petrol
540,i10,Hyundai,2009,215000,27000,Petrol
541,Etios Liva,Toyota,2012,380000,20000,Diesel
542,Duster 85PS,Renault,2013,401919,57923,Diesel
543,Enjoy,Chevrolet,2014,490000,30201,Diesel
544,Suzuki Alto,Maruti,2017,280000,6200,Petrol
545,5 Series,BMW,2009,650000,37518,Petrol
546,Etios Liva,Toyota,2014,160000,24652,Petrol
547,Jeep MM,Mahindra,2004,424000,383,Diesel
548,Beat LS,Chevrolet,2016,225000,95000,Diesel
549,Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
550,Wrangler Unlimited,Jeep,2015,950000,3528,Diesel
551,Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
552,Verna VGT,Hyundai,2010,205000,47900,Diesel
553,Suzuki Omni,Maruti,2012,160000,14000,Petrol
554,Suzuki Celerio,Maruti,2018,310000,37000,Petrol
555,Zest Quadrajet,Tata,2017,180000,90000,Diesel
556,XUV500 W6,Mahindra,2013,549900,52800,Diesel
557,Indigo CS,Tata,2016,150000,104000,Diesel
558,i10 Era,Hyundai,2011,175000,30000,Petrol
559,Indigo eCS,Tata,2014,95000,195000,Diesel
560,Indigo LX,Tata,2016,230000,104000,Diesel
561,Indigo eCS,Tata,2016,230000,104000,Diesel
562,Indigo Marina,Tata,2004,180000,70000,Diesel
563,Xcent SX,Hyundai,2015,400000,43000,Diesel
564,Eon Magna,Hyundai,2013,185000,23000,Petrol
565,Duster 85,Renault,2015,385000,51000,Diesel
566,Suzuki Alto,Maruti,2009,90000,62000,Petrol
567,Nano LX,Tata,2010,32000,48008,Petrol
568,Duster 110,Renault,2013,435000,39000,Diesel
569,Suzuki Wagon,Maruti,2010,225000,40000,Petrol
570,Suzuki Swift,Maruti,2006,189700,48247,Petrol
571,Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
572,Suzuki Swift,Maruti,2014,365000,23000,Petrol
573,Suzuki Alto,Maruti,2017,360000,9400,Petrol
574,i20 Magna,Hyundai,2010,210000,50000,Petrol
575,i10 Magna,Hyundai,2009,170000,75000,Petrol
576,Zest XE,Tata,2017,380000,70000,Diesel
577,Xylo E8,Mahindra,2009,295000,64000,Diesel
578,Corolla Altis,Toyota,2010,185000,55000,Petrol
579,Manza Aqua,Tata,2014,160000,200000,Diesel
580,Kwid 1.0,Renault,2018,290000,2137,Petrol
581,Venture EX,Tata,2013,100000,30000,Diesel
582,Suzuki Swift,Maruti,2014,315000,44000,Petrol
583,Octavia Classic,Skoda,2006,114990,65000,Diesel
584,Suzuki Omni,Maruti,2012,120000,160000,LPG
585,Beat Diesel,Chevrolet,2011,125000,56000,Diesel
586,Sumo Gold,Tata,2012,210000,75000,Diesel
587,Verna 1.6,Hyundai,2018,855000,42000,Diesel
588,Sumo Gold,Tata,2012,210000,75000,Diesel
589,Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
590,Suzuki Zen,Maruti,2002,95000,10544,Petrol
591,Suzuki Swift,Maruti,2011,255000,64000,Petrol
592,Scorpio SLX,Mahindra,2008,300000,70000,Diesel
593,Grand i10,Hyundai,2014,340000,25000,Petrol
594,Elite i20,Hyundai,2017,550000,15000,Petrol
595,Ikon 1.6,Ford,2003,60000,50000,Petrol
596,Innova 2.5,Toyota,2011,750000,147000,Diesel
597,Sunny XL,Nissan,2011,230000,52000,Petrol
598,Beat LT,Chevrolet,2012,130000,90001,Diesel
599,Suzuki Alto,Maruti,2017,270000,21000,Petrol
600,Suzuki Swift,Maruti,2012,280000,48006,Diesel
601,Suzuki Swift,Maruti,2012,280000,48006,Diesel
602,Suzuki Swift,Maruti,2012,280000,48006,Diesel
603,Innova 2.0,Toyota,2012,600000,80000,Diesel
604,Suzuki Swift,Maruti,2010,190000,74000,Diesel
605,Elite i20,Hyundai,2015,500000,22000,Petrol
606,XUV500 W10,Mahindra,2016,1065000,41000,Diesel
607,Polo Trendline,Volkswagen,2015,350000,25000,Diesel
608,Etios Liva,Toyota,2012,350000,85000,Diesel
609,TUV300 T4,Mahindra,2016,540000,29500,Diesel
610,Elite i20,Hyundai,2015,470000,30000,Petrol
611,Santro Xing,Hyundai,2014,179000,57000,Petrol
612,Suzuki Zen,Maruti,2003,48000,60000,Petrol
613,Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
614,Eon Era,Hyundai,2013,190000,39700,Petrol
615,Elantra 1.8,Hyundai,2012,500000,65000,Petrol
616,Suzuki Swift,Maruti,2010,270000,67000,Diesel
617,Suzuki Zen,Maruti,2008,125000,46000,Petrol
618,Eon Era,Hyundai,2012,188000,38000,Petrol
619,Grand i10,Hyundai,2016,380000,27000,Petrol
620,Verna Fluidic,Hyundai,2011,365000,43000,Diesel
621,EcoSport Trend,Ford,2014,465000,47000,Petrol
622,i20 Magna,Hyundai,2011,240000,42000,Petrol
623,Beat Diesel,Chevrolet,2016,179999,19336,Diesel
624,Indica eV2,Tata,2015,140000,60105,Diesel
625,XF 2.2,Jaguar,2013,2190000,29000,Diesel
626,Q5 2.0,Audi,2014,2390000,34000,Diesel
627,3 Series,BMW,2011,1075000,35000,Diesel
628,Suzuki Swift,Maruti,2015,475000,22000,Petrol
629,X1 sDrive20d,BMW,2012,1025000,41000,Diesel
630,Suzuki S,Maruti,2016,615000,21000,Diesel
631,Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
632,Suzuki Alto,Maruti,2016,270000,38000,Petrol
633,City SV,Honda,2014,475000,34000,Diesel
634,Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
635,City 1.5,Honda,2005,120000,68000,Petrol
636,A4 2.0,Audi,2016,1900000,44000,Diesel
637,KUV100,Mahindra,2017,360000,35000,Diesel
638,Zest XE,Tata,2018,450000,102563,Diesel
639,XUV500 W8,Mahindra,2015,900000,28600,Diesel
640,Suzuki Swift,Maruti,2017,650000,41800,Diesel
641,Sumo Gold,Tata,2014,275000,116000,Diesel
642,Suzuki Swift,Maruti,2009,210000,59000,Petrol
643,Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
644,Suzuki Omni,Maruti,2009,85000,45000,Petrol
645,Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel
646,Duster,Renault,2014,800000,7400,Diesel
647,Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
648,Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
649,A4 2.0,Audi,2013,1510000,27000,Diesel
650,S80 Summum,Volvo,2015,1850000,42000,Diesel
651,Corolla Altis,Toyota,2014,790000,29000,Petrol
652,Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
653,Beat LT,Chevrolet,2012,135000,36000,Petrol
654,X1,BMW,2011,1000000,34000,Diesel
655,Redi GO,Datsun,2018,299999,7000,Petrol
656,Benz C,Mercedes,2009,1225000,76000,Diesel
657,Scorpio SLX,Mahindra,2004,175000,60000,Diesel
658,Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
659,Indigo CS,Tata,2017,270000,50000,Diesel
660,Figo Petrol,Ford,2019,525000,0,Petrol
661,City ZX,Honda,2006,180000,50000,Petrol
662,Suzuki Wagon,Maruti,2008,140000,68000,Petrol
663,EcoSport Trend,Ford,2014,400000,16000,Petrol
664,Suzuki Swift,Maruti,2016,499000,51000,Diesel
665,Suzuki Omni,Maruti,2009,85000,56000,Petrol
666,Suzuki Zen,Maruti,2004,70000,100000,Petrol
667,Duster RxL,Renault,2015,550000,36000,Petrol
668,Suzuki Swift,Maruti,2014,370000,11523,Petrol
669,Suzuki Baleno,Maruti,2018,690000,1000,Petrol
670,WR V,Honda,2009,250000,60000,Petrol
671,Indigo CS,Tata,2016,110000,85000,Diesel
672,Duster 110,Renault,2013,490000,38600,Diesel
673,Scorpio LX,Mahindra,2009,320000,95500,Diesel
674,Suzuki Zen,Maruti,2004,68000,56000,Petrol
675,Suzuki Wagon,Maruti,2014,130000,37458,Petrol
676,Suzuki SX4,Maruti,2016,970000,85960,Diesel
677,A3 Cabriolet,Audi,2015,3100000,12516,Petrol
678,Eon D,Hyundai,2018,280000,35000,Petrol
679,Suzuki Zen,Maruti,2009,125000,0,Petrol
680,Scorpio SLX,Mahindra,2008,285000,80000,Diesel
681,Santro AE,Hyundai,2011,165000,45000,Petrol
682,Suzuki Swift,Maruti,2009,250000,51000,Diesel
683,Scorpio S4,Mahindra,2015,865000,30000,Diesel
684,Xylo D2,Mahindra,2011,390000,48000,Diesel
685,Santro,Hyundai,2003,60000,51000,Petrol
686,Beat LT,Chevrolet,2015,215000,90000,Diesel
687,Suzuki Swift,Maruti,2015,475000,43000,Diesel
688,XUV500 W8,Mahindra,2015,899000,53000,Diesel
689,Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
690,Suzuki Alto,Maruti,2013,240000,20000,Petrol
691,Getz GLE,Hyundai,2007,99000,55000,Petrol
692,Suzuki Swift,Maruti,2014,260000,120000,Diesel
693,Creta 1.6,Hyundai,2019,1200000,0,Petrol
694,Santro Xing,Hyundai,2007,115000,46000,Petrol
695,Santro Xing,Hyundai,2009,88000,43200,Petrol
696,Xylo D2,Mahindra,2011,390000,56000,Diesel
697,Santro Xing,Hyundai,2007,135000,42000,Petrol
698,Indica V2,Tata,2009,90000,30600,Diesel
699,i10 Sportz,Hyundai,2011,220000,38000,Petrol
700,Grand i10,Hyundai,2017,424999,2550,Petrol
701,Santro Xing,Hyundai,2007,135000,47000,Petrol
702,City 1.5,Honda,2005,95000,41000,Petrol
703,Micra XL,Nissan,2017,430000,62500,Diesel
704,City 1.5,Honda,2005,115000,68000,Petrol
705,Suzuki Alto,Maruti,2015,215000,50000,Petrol
706,Suzuki Wagon,Maruti,2004,53000,69000,Petrol
707,Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
708,Indica eV2,Tata,2012,85000,55000,Diesel
709,Suzuki Omni,Maruti,2013,165000,25000,Petrol
710,Eon Era,Hyundai,2014,200000,28400,Petrol
711,Eon,Hyundai,2014,200000,28000,Petrol
712,Suzuki Swift,Maruti,2015,425000,42000,Diesel
713,Verna 1.6,Hyundai,2012,600000,29000,Diesel
714,Tavera LS,Chevrolet,2005,130000,68485,Diesel
715,Tiago Revotron,Tata,2018,430000,3500,Petrol
716,Tiago Revotorq,Tata,2019,568500,0,Petrol
717,Suzuki Zen,Maruti,2006,71000,32000,Petrol
718,KUV100 K8,Mahindra,2018,560000,8000,Diesel
719,EcoSport Titanium,Ford,2014,590000,34000,Diesel
720,Motors Ambassador,Hindustan,1995,750000,37000,Petrol
721,Fusion 1.4,Ford,2007,125000,85455,Diesel
722,Santro Xing,Hyundai,2007,135000,46000,Petrol
723,Santro,Hyundai,2002,60000,47000,Petrol
724,Linea Emotion,Fiat,2009,120000,64000,Petrol
725,Ikon 1.3,Ford,2008,95000,46000,Petrol
726,Suzuki Omni,Maruti,2017,240000,8000,Petrol
727,Indica V2,Tata,2012,115000,64000,Diesel
728,Scorpio S4,Mahindra,2015,795000,63000,Diesel
729,Santro Xing,Hyundai,2007,55000,65000,Petrol
730,Xylo D2,Mahindra,2009,300000,62000,Diesel
731,Grand i10,Hyundai,2014,320000,41000,Petrol
732,Suzuki Alto,Maruti,2015,265000,14000,Petrol
733,Corolla,Toyota,2006,160000,40000,Petrol
734,Eon Magna,Hyundai,2017,300000,1600,Petrol
735,Sumo Grande,Tata,2010,130000,90000,Diesel
736,Suzuki Swift,Maruti,2011,250000,58000,Diesel
737,Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
738,Suzuki Alto,Maruti,2003,42000,60000,Petrol
739,Tiago Revotron,Tata,2017,400000,31000,Petrol
740,Suzuki Swift,Maruti,2009,120000,90000,Diesel
741,Suzuki Swift,Maruti,2009,120000,90000,Diesel
742,Indigo eCS,Tata,2016,130000,150000,Diesel
743,Beat LS,Chevrolet,2014,189000,31000,Diesel
744,Xylo E8,Mahindra,2011,365000,43000,Diesel
745,Eon D,Hyundai,2013,170000,20000,Petrol
746,Sumo Gold,Tata,2013,215000,100000,Petrol
747,Nano,Tata,2013,60000,7000,Petrol
748,Elite i20,Hyundai,2017,599999,31000,Petrol
749,i10 Magna,Hyundai,2009,400000,33000,Petrol
750,Creta,Hyundai,2016,900000,60000,Diesel
751,Polo,Volkswagen,2013,299999,48000,Diesel
752,Suzuki Dzire,Maruti,2014,374999,33000,Petrol
753,Bolt XM,Tata,2015,600000,15000,Petrol
754,Suzuki Alto,Maruti,2005,70000,47000,Petrol
755,Suzuki Alto,Maruti,2005,100000,40000,Petrol
756,Suzuki Ritz,Maruti,2010,150000,38000,Diesel
757,Suzuki Alto,Maruti,2017,225000,12500,Petrol
758,Suzuki Dzire,Maruti,2009,210000,42000,Petrol
759,i20 Asta,Hyundai,2014,425000,31000,Petrol
760,Suzuki Swift,Maruti,2008,162000,60000,Diesel
761,Indica V2,Tata,2005,60000,80000,Diesel
762,Scorpio VLX,Mahindra,2014,650000,77000,Diesel
763,Innova 2.5,Toyota,2012,750000,75000,Diesel
764,Xylo E8,Mahindra,2010,375000,40000,Diesel
765,i20 Magna,Hyundai,2011,230000,47000,Petrol
766,Suzuki Omni,Maruti,2000,35999,60000,Petrol
767,KUV100,Mahindra,2016,380000,26500,Petrol
768,KUV100 K8,Mahindra,2019,560000,2875,Petrol
769,Go Plus,Datsun,2016,285000,13900,Petrol
770,Endeavor 4x4,Ford,2019,2900000,9000,Diesel
771,Indica V2,Tata,2005,39999,80000,Diesel
772,Santro Xing,Hyundai,2006,85000,60000,Petrol
773,Suzuki Wagon,Maruti,2016,395000,20000,Petrol
774,Suzuki Swift,Maruti,2008,175000,58000,Diesel
775,Suzuki Alto,Maruti,2019,400000,1500,Petrol
776,Innova 2.5,Toyota,2011,750000,75000,Diesel
777,Suzuki Alto,Maruti,2016,250000,2450,Petrol
778,Suzuki Alto,Maruti,2019,425000,1625,Petrol
779,Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
780,Logan,Mahindra,2009,130000,65000,Diesel
781,Suzuki 800,Maruti,2000,30000,33400,Petrol
782,Scorpio,Mahindra,2011,475000,60123,Diesel
783,Sail 1.2,Chevrolet,2013,300000,28000,Petrol
784,Santro AE,Hyundai,2003,60000,70000,Petrol
785,Suzuki Wagon,Maruti,2006,100000,7000,Petrol
786,Eon,Hyundai,2018,260000,25000,Petrol
787,Manza,Tata,2015,100000,100000,Diesel
788,Etios G,Toyota,2013,265000,42000,Petrol
789,Getz Prime,Hyundai,2009,115000,20000,Petrol
790,Qualis,Toyota,2003,180000,100000,Diesel
791,Santro Xing,Hyundai,2004,45000,137495,Petrol
792,Indica eV2,Tata,2016,50500,91200,Diesel
793,City 1.5,Honda,2009,270000,55000,Petrol
794,Zest XE,Tata,2017,290000,120000,Diesel
795,Quanto C4,Mahindra,2013,325000,63000,Diesel
796,Indigo eCS,Tata,2016,160000,104000,Diesel
797,Suzuki Swift,Maruti,2016,350000,146000,Diesel
798,Elite i20,Hyundai,2011,290000,40000,Petrol
799,i20 Select,Hyundai,2011,290000,40000,Petrol
800,Tavera Neo,Chevrolet,2007,465000,100800,Diesel
801,Suzuki Dzire,Maruti,2016,325000,150000,Diesel
802,Elite i20,Hyundai,2018,510000,2100,Petrol
803,City VX,Honda,2016,860000,95000,Petrol
804,Suzuki Dzire,Maruti,2016,450000,2500,Diesel
805,Getz,Hyundai,2006,125000,80000,Petrol
806,Benz C,Mercedes,2006,500001,15000,Petrol
807,Suzuki Alto,Maruti,2005,95000,65000,Petrol
808,Suzuki Swift,Maruti,2009,250000,51000,Diesel
809,Fabia,Skoda,2009,110000,45000,Petrol
810,Suzuki Ritz,Maruti,2011,270000,50000,Petrol
811,Indica V2,Tata,2009,110000,30000,Diesel
812,Corolla Altis,Toyota,2009,300000,132000,Petrol
813,Zest XM,Tata,2018,260000,27000,Diesel
814,Quanto C8,Mahindra,2013,390000,40000,Diesel
